Time,Output
1/01/2019 0:00,0.269
1/01/2019 1:00,0.347
1/01/2019 2:00,0.405
1/01/2019 3:00,0.42
1/01/2019 4:00,0.425
1/01/2019 5:00,0.405
1/01/2019 6:00,0.334
1/01/2019 7:00,0.218
1/01/2019 8:00,0.098
1/01/2019 9:00,0.006
1/01/2019 10:00,0
1/01/2019 11:00,0
1/01/2019 12:00,0
1/01/2019 13:00,0
1/01/2019 14:00,0
1/01/2019 15:00,0
1/01/2019 16:00,0
1/01/2019 17:00,0
1/01/2019 18:00,0
1/01/2019 19:00,0
1/01/2019 20:00,0
1/01/2019 21:00,0
1/01/2019 22:00,0.069
1/01/2019 23:00,0.184
2/01/2019 0:00,0.293
2/01/2019 1:00,0.39
2/01/2019 2:00,0.456
2/01/2019 3:00,0.481
2/01/2019 4:00,0.468
2/01/2019 5:00,0.401
2/01/2019 6:00,0.323
2/01/2019 7:00,0.203
2/01/2019 8:00,0.097
2/01/2019 9:00,0.006
2/01/2019 10:00,0
2/01/2019 11:00,0
2/01/2019 12:00,0
2/01/2019 13:00,0
2/01/2019 14:00,0
2/01/2019 15:00,0
2/01/2019 16:00,0
2/01/2019 17:00,0
2/01/2019 18:00,0
2/01/2019 19:00,0
2/01/2019 20:00,0
2/01/2019 21:00,0
2/01/2019 22:00,0.047
2/01/2019 23:00,0.124
3/01/2019 0:00,0.206
3/01/2019 1:00,0.266
3/01/2019 2:00,0.316
3/01/2019 3:00,0.352
3/01/2019 4:00,0.326
3/01/2019 5:00,0.266
3/01/2019 6:00,0.199
3/01/2019 7:00,0.117
3/01/2019 8:00,0.05
3/01/2019 9:00,0
3/01/2019 10:00,0
3/01/2019 11:00,0
3/01/2019 12:00,0
3/01/2019 13:00,0
3/01/2019 14:00,0
3/01/2019 15:00,0
3/01/2019 16:00,0
3/01/2019 17:00,0
3/01/2019 18:00,0
3/01/2019 19:00,0
3/01/2019 20:00,0
3/01/2019 21:00,0
3/01/2019 22:00,0.044
3/01/2019 23:00,0.12
4/01/2019 0:00,0.191
4/01/2019 1:00,0.245
4/01/2019 2:00,0.273
4/01/2019 3:00,0.289
4/01/2019 4:00,0.285
4/01/2019 5:00,0.259
4/01/2019 6:00,0.221
4/01/2019 7:00,0.159
4/01/2019 8:00,0.071
4/01/2019 9:00,0.003
4/01/2019 10:00,0
4/01/2019 11:00,0
4/01/2019 12:00,0
4/01/2019 13:00,0
4/01/2019 14:00,0
4/01/2019 15:00,0
4/01/2019 16:00,0
4/01/2019 17:00,0
4/01/2019 18:00,0
4/01/2019 19:00,0
4/01/2019 20:00,0
4/01/2019 21:00,0
4/01/2019 22:00,0.049
4/01/2019 23:00,0.124
5/01/2019 0:00,0.188
5/01/2019 1:00,0.249
5/01/2019 2:00,0.298
5/01/2019 3:00,0.319
5/01/2019 4:00,0.32
5/01/2019 5:00,0.289
5/01/2019 6:00,0.228
5/01/2019 7:00,0.147
5/01/2019 8:00,0.064
5/01/2019 9:00,0.001
5/01/2019 10:00,0
5/01/2019 11:00,0
5/01/2019 12:00,0
5/01/2019 13:00,0
5/01/2019 14:00,0
5/01/2019 15:00,0
5/01/2019 16:00,0
5/01/2019 17:00,0
5/01/2019 18:00,0
5/01/2019 19:00,0
5/01/2019 20:00,0
5/01/2019 21:00,0
5/01/2019 22:00,0.061
5/01/2019 23:00,0.165
6/01/2019 0:00,0.284
6/01/2019 1:00,0.377
6/01/2019 2:00,0.447
6/01/2019 3:00,0.469
6/01/2019 4:00,0.439
6/01/2019 5:00,0.374
6/01/2019 6:00,0.28
6/01/2019 7:00,0.159
6/01/2019 8:00,0.057
6/01/2019 9:00,0
6/01/2019 10:00,0
6/01/2019 11:00,0
6/01/2019 12:00,0
6/01/2019 13:00,0
6/01/2019 14:00,0
6/01/2019 15:00,0
6/01/2019 16:00,0
6/01/2019 17:00,0
6/01/2019 18:00,0
6/01/2019 19:00,0
6/01/2019 20:00,0
6/01/2019 21:00,0
6/01/2019 22:00,0.05
6/01/2019 23:00,0.138
7/01/2019 0:00,0.235
7/01/2019 1:00,0.324
7/01/2019 2:00,0.376
7/01/2019 3:00,0.378
7/01/2019 4:00,0.366
7/01/2019 5:00,0.33
7/01/2019 6:00,0.261
7/01/2019 7:00,0.169
7/01/2019 8:00,0.069
7/01/2019 9:00,0.002
7/01/2019 10:00,0
7/01/2019 11:00,0
7/01/2019 12:00,0
7/01/2019 13:00,0
7/01/2019 14:00,0
7/01/2019 15:00,0
7/01/2019 16:00,0
7/01/2019 17:00,0
7/01/2019 18:00,0
7/01/2019 19:00,0
7/01/2019 20:00,0
7/01/2019 21:00,0
7/01/2019 22:00,0.084
7/01/2019 23:00,0.221
8/01/2019 0:00,0.343
8/01/2019 1:00,0.432
8/01/2019 2:00,0.495
8/01/2019 3:00,0.525
8/01/2019 4:00,0.518
8/01/2019 5:00,0.467
8/01/2019 6:00,0.377
8/01/2019 7:00,0.257
8/01/2019 8:00,0.119
8/01/2019 9:00,0.009
8/01/2019 10:00,0
8/01/2019 11:00,0
