Time,Output
1/01/2019 0:00,0.299
1/01/2019 1:00,0.387
1/01/2019 2:00,0.442
1/01/2019 3:00,0.451
1/01/2019 4:00,0.433
1/01/2019 5:00,0.377
1/01/2019 6:00,0.318
1/01/2019 7:00,0.22
1/01/2019 8:00,0.108
1/01/2019 9:00,0.01
1/01/2019 10:00,0
1/01/2019 11:00,0
1/01/2019 12:00,0
1/01/2019 13:00,0
1/01/2019 14:00,0
1/01/2019 15:00,0
1/01/2019 16:00,0
1/01/2019 17:00,0
1/01/2019 18:00,0
1/01/2019 19:00,0
1/01/2019 20:00,0
1/01/2019 21:00,0
1/01/2019 22:00,0.051
1/01/2019 23:00,0.163
2/01/2019 0:00,0.325
2/01/2019 1:00,0.442
2/01/2019 2:00,0.506
2/01/2019 3:00,0.524
2/01/2019 4:00,0.499
2/01/2019 5:00,0.44
2/01/2019 6:00,0.349
2/01/2019 7:00,0.232
2/01/2019 8:00,0.095
2/01/2019 9:00,0.007
2/01/2019 10:00,0
2/01/2019 11:00,0
2/01/2019 12:00,0
2/01/2019 13:00,0
2/01/2019 14:00,0
2/01/2019 15:00,0
2/01/2019 16:00,0
2/01/2019 17:00,0
2/01/2019 18:00,0
2/01/2019 19:00,0
2/01/2019 20:00,0
2/01/2019 21:00,0
2/01/2019 22:00,0.051
2/01/2019 23:00,0.154
3/01/2019 0:00,0.274
3/01/2019 1:00,0.381
3/01/2019 2:00,0.449
3/01/2019 3:00,0.481
3/01/2019 4:00,0.466
3/01/2019 5:00,0.407
3/01/2019 6:00,0.315
3/01/2019 7:00,0.202
3/01/2019 8:00,0.093
3/01/2019 9:00,0.008
3/01/2019 10:00,0
3/01/2019 11:00,0
3/01/2019 12:00,0
3/01/2019 13:00,0
3/01/2019 14:00,0
3/01/2019 15:00,0
3/01/2019 16:00,0
3/01/2019 17:00,0
3/01/2019 18:00,0
3/01/2019 19:00,0
3/01/2019 20:00,0
3/01/2019 21:00,0
3/01/2019 22:00,0.062
3/01/2019 23:00,0.164
4/01/2019 0:00,0.269
4/01/2019 1:00,0.345
4/01/2019 2:00,0.406
4/01/2019 3:00,0.443
4/01/2019 4:00,0.43
4/01/2019 5:00,0.382
4/01/2019 6:00,0.303
4/01/2019 7:00,0.198
4/01/2019 8:00,0.09
4/01/2019 9:00,0.007
4/01/2019 10:00,0
4/01/2019 11:00,0
4/01/2019 12:00,0
4/01/2019 13:00,0
4/01/2019 14:00,0
4/01/2019 15:00,0
4/01/2019 16:00,0
4/01/2019 17:00,0
4/01/2019 18:00,0
4/01/2019 19:00,0
4/01/2019 20:00,0
4/01/2019 21:00,0
4/01/2019 22:00,0.048
4/01/2019 23:00,0.127
5/01/2019 0:00,0.211
5/01/2019 1:00,0.286
5/01/2019 2:00,0.338
5/01/2019 3:00,0.365
5/01/2019 4:00,0.36
5/01/2019 5:00,0.328
5/01/2019 6:00,0.263
5/01/2019 7:00,0.171
5/01/2019 8:00,0.073
5/01/2019 9:00,0.004
5/01/2019 10:00,0
5/01/2019 11:00,0
5/01/2019 12:00,0
5/01/2019 13:00,0
5/01/2019 14:00,0
5/01/2019 15:00,0
5/01/2019 16:00,0
5/01/2019 17:00,0
5/01/2019 18:00,0
5/01/2019 19:00,0
5/01/2019 20:00,0
5/01/2019 21:00,0
5/01/2019 22:00,0.077
5/01/2019 23:00,0.193
6/01/2019 0:00,0.328
6/01/2019 1:00,0.422
6/01/2019 2:00,0.478
6/01/2019 3:00,0.497
6/01/2019 4:00,0.473
6/01/2019 5:00,0.394
6/01/2019 6:00,0.292
6/01/2019 7:00,0.172
6/01/2019 8:00,0.063
6/01/2019 9:00,0
6/01/2019 10:00,0
6/01/2019 11:00,0
6/01/2019 12:00,0
6/01/2019 13:00,0
6/01/2019 14:00,0
6/01/2019 15:00,0
6/01/2019 16:00,0
6/01/2019 17:00,0
6/01/2019 18:00,0
6/01/2019 19:00,0
6/01/2019 20:00,0
6/01/2019 21:00,0
6/01/2019 22:00,0.061
6/01/2019 23:00,0.169
7/01/2019 0:00,0.299
7/01/2019 1:00,0.395
7/01/2019 2:00,0.459
7/01/2019 3:00,0.471
7/01/2019 4:00,0.429
7/01/2019 5:00,0.352
7/01/2019 6:00,0.252
7/01/2019 7:00,0.157
7/01/2019 8:00,0.065
7/01/2019 9:00,0.002
7/01/2019 10:00,0
7/01/2019 11:00,0
7/01/2019 12:00,0
7/01/2019 13:00,0
7/01/2019 14:00,0
7/01/2019 15:00,0
7/01/2019 16:00,0
7/01/2019 17:00,0
7/01/2019 18:00,0
7/01/2019 19:00,0
7/01/2019 20:00,0
7/01/2019 21:00,0
7/01/2019 22:00,0.055
7/01/2019 23:00,0.152
8/01/2019 0:00,0.274
8/01/2019 1:00,0.397
8/01/2019 2:00,0.468
8/01/2019 3:00,0.505
8/01/2019 4:00,0.505
8/01/2019 5:00,0.46
8/01/2019 6:00,0.373
8/01/2019 7:00,0.254
8/01/2019 8:00,0.117
8/01/2019 9:00,0.014
8/01/2019 10:00,0
8/01/2019 11:00,0
8/01/2019 12:00,0
8/01/2019 13:00,0
8/01/2019 14:00,0
8/01/2019 15:00,0
8/01/2019 16:00,0
8/01/2019 17:00,0
8/01/2019 18:00,0
8/01/2019 19:00,0
8/01/2019 20:00,0
8/01/2019 21:00,0
8/01/2019 22:00,0.068
8/01/2019 23:00,0.188
9/01/2019 0:00,0.314
9/01/2019 1:00,0.419
9/01/2019 2:00,0.5
9/01/2019 3:00,0.524
9/01/2019 4:00,0.513
9/01/2019 5:00,0.449
9/01/2019 6:00,0.349
9/01/2019 7:00,0.218
9/01/2019 8:00,0.088
9/01/2019 9:00,0.007
9/01/2019 10:00,0
9/01/2019 11:00,0
9/01/2019 12:00,0
9/01/2019 13:00,0
9/01/2019 14:00,0
9/01/2019 15:00,0
9/01/2019 16:00,0
9/01/2019 17:00,0
9/01/2019 18:00,0
9/01/2019 19:00,0
9/01/2019 20:00,0
9/01/2019 21:00,0
9/01/2019 22:00,0.067
9/01/2019 23:00,0.151
10/01/2019 0:00,0.258
10/01/2019 1:00,0.325
10/01/2019 2:00,0.396
10/01/2019 3:00,0.427
10/01/2019 4:00,0.418
10/01/2019 5:00,0.372
10/01/2019 6:00,0.285
10/01/2019 7:00,0.185
10/01/2019 8:00,0.083
10/01/2019 9:00,0.006
10/01/2019 10:00,0
10/01/2019 11:00,0
10/01/2019 12:00,0
10/01/2019 13:00,0
10/01/2019 14:00,0
10/01/2019 15:00,0
10/01/2019 16:00,0
10/01/2019 17:00,0
10/01/2019 18:00,0
10/01/2019 19:00,0
10/01/2019 20:00,0
10/01/2019 21:00,0
10/01/2019 22:00,0.054
10/01/2019 23:00,0.144
11/01/2019 0:00,0.254
11/01/2019 1:00,0.351
11/01/2019 2:00,0.402
11/01/2019 3:00,0.43
11/01/2019 4:00,0.418
11/01/2019 5:00,0.38
11/01/2019 6:00,0.321
11/01/2019 7:00,0.236
11/01/2019 8:00,0.118
11/01/2019 9:00,0.011
11/01/2019 10:00,0
11/01/2019 11:00,0
11/01/2019 12:00,0
11/01/2019 13:00,0
11/01/2019 14:00,0
11/01/2019 15:00,0
11/01/2019 16:00,0
11/01/2019 17:00,0
11/01/2019 18:00,0
11/01/2019 19:00,0
11/01/2019 20:00,0
11/01/2019 21:00,0.001
11/01/2019 22:00,0.093
11/01/2019 23:00,0.233
12/01/2019 0:00,0.35
12/01/2019 1:00,0.466
12/01/2019 2:00,0.539
12/01/2019 3:00,0.572
12/01/2019 4:00,0.559
12/01/2019 5:00,0.508
12/01/2019 6:00,0.407
12/01/2019 7:00,0.266
12/01/2019 8:00,0.119
12/01/2019 9:00,0.01
12/01/2019 10:00,0
12/01/2019 11:00,0
12/01/2019 12:00,0
12/01/2019 13:00,0
12/01/2019 14:00,0
12/01/2019 15:00,0
12/01/2019 16:00,0
12/01/2019 17:00,0
12/01/2019 18:00,0
