Time,Output
1/01/2019 0:00,0.288
1/01/2019 1:00,0.384
1/01/2019 2:00,0.446
1/01/2019 3:00,0.465
1/01/2019 4:00,0.452
1/01/2019 5:00,0.402
1/01/2019 6:00,0.326
1/01/2019 7:00,0.231
1/01/2019 8:00,0.109
1/01/2019 9:00,0.009
1/01/2019 10:00,0
1/01/2019 11:00,0
1/01/2019 12:00,0
1/01/2019 13:00,0
1/01/2019 14:00,0
1/01/2019 15:00,0
1/01/2019 16:00,0
1/01/2019 17:00,0
1/01/2019 18:00,0
1/01/2019 19:00,0
1/01/2019 20:00,0
1/01/2019 21:00,0
1/01/2019 22:00,0.065
1/01/2019 23:00,0.184
2/01/2019 0:00,0.325
2/01/2019 1:00,0.429
2/01/2019 2:00,0.498
2/01/2019 3:00,0.532
2/01/2019 4:00,0.511
2/01/2019 5:00,0.446
2/01/2019 6:00,0.347
2/01/2019 7:00,0.218
2/01/2019 8:00,0.099
2/01/2019 9:00,0.006
2/01/2019 10:00,0
2/01/2019 11:00,0
2/01/2019 12:00,0
2/01/2019 13:00,0
2/01/2019 14:00,0
2/01/2019 15:00,0
2/01/2019 16:00,0
2/01/2019 17:00,0
2/01/2019 18:00,0
2/01/2019 19:00,0
2/01/2019 20:00,0
2/01/2019 21:00,0
2/01/2019 22:00,0.039
2/01/2019 23:00,0.117
3/01/2019 0:00,0.212
3/01/2019 1:00,0.306
3/01/2019 2:00,0.362
3/01/2019 3:00,0.399
3/01/2019 4:00,0.406
3/01/2019 5:00,0.348
3/01/2019 6:00,0.276
3/01/2019 7:00,0.186
3/01/2019 8:00,0.088
3/01/2019 9:00,0.007
3/01/2019 10:00,0
3/01/2019 11:00,0
3/01/2019 12:00,0
3/01/2019 13:00,0
3/01/2019 14:00,0
3/01/2019 15:00,0
3/01/2019 16:00,0
3/01/2019 17:00,0
3/01/2019 18:00,0
3/01/2019 19:00,0
3/01/2019 20:00,0
3/01/2019 21:00,0
3/01/2019 22:00,0.054
3/01/2019 23:00,0.143
4/01/2019 0:00,0.227
4/01/2019 1:00,0.277
4/01/2019 2:00,0.309
4/01/2019 3:00,0.354
4/01/2019 4:00,0.363
4/01/2019 5:00,0.335
4/01/2019 6:00,0.272
4/01/2019 7:00,0.187
4/01/2019 8:00,0.088
4/01/2019 9:00,0.007
4/01/2019 10:00,0
4/01/2019 11:00,0
4/01/2019 12:00,0
4/01/2019 13:00,0
4/01/2019 14:00,0
4/01/2019 15:00,0
4/01/2019 16:00,0
4/01/2019 17:00,0
4/01/2019 18:00,0
4/01/2019 19:00,0
4/01/2019 20:00,0
4/01/2019 21:00,0
4/01/2019 22:00,0.048
4/01/2019 23:00,0.133
5/01/2019 0:00,0.208
5/01/2019 1:00,0.303
5/01/2019 2:00,0.344
5/01/2019 3:00,0.369
5/01/2019 4:00,0.372
5/01/2019 5:00,0.339
5/01/2019 6:00,0.276
5/01/2019 7:00,0.187
5/01/2019 8:00,0.084
5/01/2019 9:00,0.006
5/01/2019 10:00,0
5/01/2019 11:00,0
5/01/2019 12:00,0
5/01/2019 13:00,0
5/01/2019 14:00,0
5/01/2019 15:00,0
5/01/2019 16:00,0
5/01/2019 17:00,0
5/01/2019 18:00,0
5/01/2019 19:00,0
5/01/2019 20:00,0
5/01/2019 21:00,0
5/01/2019 22:00,0.086
5/01/2019 23:00,0.226
6/01/2019 0:00,0.362
6/01/2019 1:00,0.468
6/01/2019 2:00,0.528
6/01/2019 3:00,0.552
6/01/2019 4:00,0.533
6/01/2019 5:00,0.461
6/01/2019 6:00,0.355
6/01/2019 7:00,0.216
6/01/2019 8:00,0.087
6/01/2019 9:00,0.003
6/01/2019 10:00,0
6/01/2019 11:00,0
6/01/2019 12:00,0
6/01/2019 13:00,0
6/01/2019 14:00,0
6/01/2019 15:00,0
6/01/2019 16:00,0
6/01/2019 17:00,0
6/01/2019 18:00,0
6/01/2019 19:00,0
6/01/2019 20:00,0
6/01/2019 21:00,0
6/01/2019 22:00,0.064
6/01/2019 23:00,0.177
7/01/2019 0:00,0.303
7/01/2019 1:00,0.399
7/01/2019 2:00,0.467
7/01/2019 3:00,0.477
7/01/2019 4:00,0.452
7/01/2019 5:00,0.398
7/01/2019 6:00,0.312
7/01/2019 7:00,0.206
7/01/2019 8:00,0.099
7/01/2019 9:00,0.008
7/01/2019 10:00,0
7/01/2019 11:00,0
7/01/2019 12:00,0
7/01/2019 13:00,0
7/01/2019 14:00,0
7/01/2019 15:00,0
7/01/2019 16:00,0
7/01/2019 17:00,0
7/01/2019 18:00,0
7/01/2019 19:00,0
7/01/2019 20:00,0
7/01/2019 21:00,0
7/01/2019 22:00,0.063
7/01/2019 23:00,0.171
8/01/2019 0:00,0.301
8/01/2019 1:00,0.406
8/01/2019 2:00,0.471
8/01/2019 3:00,0.5
8/01/2019 4:00,0.493
8/01/2019 5:00,0.447
8/01/2019 6:00,0.359
8/01/2019 7:00,0.243
8/01/2019 8:00,0.118
8/01/2019 9:00,0.014
8/01/2019 10:00,0
8/01/2019 11:00,0
8/01/2019 12:00,0
8/01/2019 13:00,0
8/01/2019 14:00,0
8/01/2019 15:00,0
8/01/2019 16:00,0
8/01/2019 17:00,0
8/01/2019 18:00,0
8/01/2019 19:00,0
8/01/2019 20:00,0
8/01/2019 21:00,0
8/01/2019 22:00,0.073
8/01/2019 23:00,0.19
9/01/2019 0:00,0.341
9/01/2019 1:00,0.439
9/01/2019 2:00,0.506
9/01/2019 3:00,0.526
9/01/2019 4:00,0.509
9/01/2019 5:00,0.446
9/01/2019 6:00,0.329
9/01/2019 7:00,0.22
9/01/2019 8:00,0.082
9/01/2019 9:00,0.005
9/01/2019 10:00,0
9/01/2019 11:00,0
9/01/2019 12:00,0
9/01/2019 13:00,0
9/01/2019 14:00,0
9/01/2019 15:00,0
9/01/2019 16:00,0
9/01/2019 17:00,0
9/01/2019 18:00,0
9/01/2019 19:00,0
9/01/2019 20:00,0
9/01/2019 21:00,0
9/01/2019 22:00,0.081
9/01/2019 23:00,0.185
10/01/2019 0:00,0.27
10/01/2019 1:00,0.337
10/01/2019 2:00,0.39
10/01/2019 3:00,0.421
10/01/2019 4:00,0.416
10/01/2019 5:00,0.38
10/01/2019 6:00,0.286
10/01/2019 7:00,0.188
10/01/2019 8:00,0.088
10/01/2019 9:00,0.005
10/01/2019 10:00,0
10/01/2019 11:00,0
10/01/2019 12:00,0
10/01/2019 13:00,0
10/01/2019 14:00,0
10/01/2019 15:00,0
10/01/2019 16:00,0
10/01/2019 17:00,0
10/01/2019 18:00,0
10/01/2019 19:00,0
10/01/2019 20:00,0
10/01/2019 21:00,0
10/01/2019 22:00,0.05
