Time,Output
1/01/2019 0:00,0.287
1/01/2019 1:00,0.377
1/01/2019 2:00,0.437
1/01/2019 3:00,0.449
1/01/2019 4:00,0.443
1/01/2019 5:00,0.413
1/01/2019 6:00,0.336
1/01/2019 7:00,0.226
1/01/2019 8:00,0.103
1/01/2019 9:00,0.008
1/01/2019 10:00,0
1/01/2019 11:00,0
1/01/2019 12:00,0
1/01/2019 13:00,0
1/01/2019 14:00,0
1/01/2019 15:00,0
1/01/2019 16:00,0
1/01/2019 17:00,0
1/01/2019 18:00,0
1/01/2019 19:00,0
1/01/2019 20:00,0
1/01/2019 21:00,0
1/01/2019 22:00,0.069
1/01/2019 23:00,0.191
2/01/2019 0:00,0.314
2/01/2019 1:00,0.411
2/01/2019 2:00,0.482
2/01/2019 3:00,0.519
2/01/2019 4:00,0.504
2/01/2019 5:00,0.436
2/01/2019 6:00,0.341
2/01/2019 7:00,0.206
2/01/2019 8:00,0.099
2/01/2019 9:00,0.006
2/01/2019 10:00,0
2/01/2019 11:00,0
2/01/2019 12:00,0
2/01/2019 13:00,0
2/01/2019 14:00,0
2/01/2019 15:00,0
2/01/2019 16:00,0
2/01/2019 17:00,0
2/01/2019 18:00,0
2/01/2019 19:00,0
2/01/2019 20:00,0
2/01/2019 21:00,0
2/01/2019 22:00,0.038
2/01/2019 23:00,0.105
3/01/2019 0:00,0.184
3/01/2019 1:00,0.253
3/01/2019 2:00,0.303
3/01/2019 3:00,0.346
3/01/2019 4:00,0.343
3/01/2019 5:00,0.281
3/01/2019 6:00,0.218
3/01/2019 7:00,0.141
3/01/2019 8:00,0.066
3/01/2019 9:00,0.003
3/01/2019 10:00,0
3/01/2019 11:00,0
3/01/2019 12:00,0
3/01/2019 13:00,0
3/01/2019 14:00,0
3/01/2019 15:00,0
3/01/2019 16:00,0
3/01/2019 17:00,0
3/01/2019 18:00,0
3/01/2019 19:00,0
3/01/2019 20:00,0
3/01/2019 21:00,0
3/01/2019 22:00,0.046
3/01/2019 23:00,0.124
4/01/2019 0:00,0.197
4/01/2019 1:00,0.243
4/01/2019 2:00,0.261
4/01/2019 3:00,0.286
4/01/2019 4:00,0.3
4/01/2019 5:00,0.283
4/01/2019 6:00,0.239
4/01/2019 7:00,0.171
4/01/2019 8:00,0.078
4/01/2019 9:00,0.005
4/01/2019 10:00,0
4/01/2019 11:00,0
4/01/2019 12:00,0
4/01/2019 13:00,0
4/01/2019 14:00,0
4/01/2019 15:00,0
4/01/2019 16:00,0
4/01/2019 17:00,0
4/01/2019 18:00,0
4/01/2019 19:00,0
4/01/2019 20:00,0
4/01/2019 21:00,0
4/01/2019 22:00,0.048
4/01/2019 23:00,0.126
5/01/2019 0:00,0.19
5/01/2019 1:00,0.272
5/01/2019 2:00,0.318
5/01/2019 3:00,0.34
5/01/2019 4:00,0.345
5/01/2019 5:00,0.313
5/01/2019 6:00,0.248
5/01/2019 7:00,0.162
5/01/2019 8:00,0.072
5/01/2019 9:00,0.003
5/01/2019 10:00,0
5/01/2019 11:00,0
5/01/2019 12:00,0
5/01/2019 13:00,0
5/01/2019 14:00,0
5/01/2019 15:00,0
5/01/2019 16:00,0
5/01/2019 17:00,0
5/01/2019 18:00,0
5/01/2019 19:00,0
5/01/2019 20:00,0
5/01/2019 21:00,0
5/01/2019 22:00,0.078
5/01/2019 23:00,0.206
6/01/2019 0:00,0.334
6/01/2019 1:00,0.435
6/01/2019 2:00,0.501
6/01/2019 3:00,0.524
6/01/2019 4:00,0.495
6/01/2019 5:00,0.422
6/01/2019 6:00,0.325
6/01/2019 7:00,0.189
6/01/2019 8:00,0.071
6/01/2019 9:00,0.001
6/01/2019 10:00,0
6/01/2019 11:00,0
6/01/2019 12:00,0
6/01/2019 13:00,0
6/01/2019 14:00,0
6/01/2019 15:00,0
6/01/2019 16:00,0
6/01/2019 17:00,0
6/01/2019 18:00,0
6/01/2019 19:00,0
6/01/2019 20:00,0
6/01/2019 21:00,0
6/01/2019 22:00,0.058
6/01/2019 23:00,0.158
7/01/2019 0:00,0.264
7/01/2019 1:00,0.358
7/01/2019 2:00,0.42
7/01/2019 3:00,0.418
7/01/2019 4:00,0.401
7/01/2019 5:00,0.366
7/01/2019 6:00,0.294
7/01/2019 7:00,0.196
7/01/2019 8:00,0.089
7/01/2019 9:00,0.006
7/01/2019 10:00,0
7/01/2019 11:00,0
7/01/2019 12:00,0
7/01/2019 13:00,0
7/01/2019 14:00,0
7/01/2019 15:00,0
7/01/2019 16:00,0
7/01/2019 17:00,0
7/01/2019 18:00,0
7/01/2019 19:00,0
7/01/2019 20:00,0
7/01/2019 21:00,0
7/01/2019 22:00,0.076
7/01/2019 23:00,0.202
8/01/2019 0:00,0.329
8/01/2019 1:00,0.419
8/01/2019 2:00,0.482
8/01/2019 3:00,0.511
8/01/2019 4:00,0.504
8/01/2019 5:00,0.458
8/01/2019 6:00,0.369
8/01/2019 7:00,0.252
8/01/2019 8:00,0.12
8/01/2019 9:00,0.012
8/01/2019 10:00,0
8/01/2019 11:00,0
8/01/2019 12:00,0
8/01/2019 13:00,0
8/01/2019 14:00,0
8/01/2019 15:00,0
8/01/2019 16:00,0
8/01/2019 17:00,0
8/01/2019 18:00,0
8/01/2019 19:00,0
8/01/2019 20:00,0
8/01/2019 21:00,0
8/01/2019 22:00,0.076
8/01/2019 23:00,0.187
9/01/2019 0:00,0.326
9/01/2019 1:00,0.434
9/01/2019 2:00,0.502
9/01/2019 3:00,0.528
9/01/2019 4:00,0.507
9/01/2019 5:00,0.446
9/01/2019 6:00,0.338
9/01/2019 7:00,0.217
9/01/2019 8:00,0.087
9/01/2019 9:00,0.005
9/01/2019 10:00,0
9/01/2019 11:00,0
9/01/2019 12:00,0
9/01/2019 13:00,0
9/01/2019 14:00,0
9/01/2019 15:00,0
9/01/2019 16:00,0
9/01/2019 17:00,0
9/01/2019 18:00,0
9/01/2019 19:00,0
9/01/2019 20:00,0
9/01/2019 21:00,0
9/01/2019 22:00,0.075
9/01/2019 23:00,0.168
10/01/2019 0:00,0.245
10/01/2019 1:00,0.312
10/01/2019 2:00,0.358
10/01/2019 3:00,0.401
10/01/2019 4:00,0.395
10/01/2019 5:00,0.354
10/01/2019 6:00,0.27
10/01/2019 7:00,0.172
10/01/2019 8:00,0.078
10/01/2019 9:00,0.003
10/01/2019 10:00,0
10/01/2019 11:00,0
10/01/2019 12:00,0
10/01/2019 13:00,0
10/01/2019 14:00,0
10/01/2019 15:00,0
10/01/2019 16:00,0
10/01/2019 17:00,0
10/01/2019 18:00,0
10/01/2019 19:00,0
10/01/2019 20:00,0
10/01/2019 21:00,0
10/01/2019 22:00,0.047
10/01/2019 23:00,0.125
11/01/2019 0:00,0.213
11/01/2019 1:00,0.299
11/01/2019 2:00,0.361
11/01/2019 3:00,0.397
11/01/2019 4:00,0.391
11/01/2019 5:00,0.354
11/01/2019 6:00,0.286
11/01/2019 7:00,0.196
11/01/2019 8:00,0.091
11/01/2019 9:00,0.006
11/01/2019 10:00,0
11/01/2019 11:00,0
11/01/2019 12:00,0
11/01/2019 13:00,0
11/01/2019 14:00,0
11/01/2019 15:00,0
11/01/2019 16:00,0
11/01/2019 17:00,0
11/01/2019 18:00,0
11/01/2019 19:00,0
11/01/2019 20:00,0
11/01/2019 21:00,0
11/01/2019 22:00,0.083
11/01/2019 23:00,0.225
12/01/2019 0:00,0.357
12/01/2019 1:00,0.473
12/01/2019 2:00,0.545
12/01/2019 3:00,0.571
12/01/2019 4:00,0.555
12/01/2019 5:00,0.498
12/01/2019 6:00,0.399
12/01/2019 7:00,0.261
12/01/2019 8:00,0.117
12/01/2019 9:00,0.01
12/01/2019 10:00,0
12/01/2019 11:00,0
12/01/2019 12:00,0
12/01/2019 13:00,0
12/01/2019 14:00,0
12/01/2019 15:00,0
12/01/2019 16:00,0
12/01/2019 17:00,0
12/01/2019 18:00,0
12/01/2019 19:00,0
12/01/2019 20:00,0
12/01/2019 21:00,0
12/01/2019 22:00,0.061
12/01/2019 23:00,0.129
13/01/2019 0:00,0.208
13/01/2019 1:00,0.268
13/01/2019 2:00,0.306
13/01/2019 3:00,0.321
13/01/2019 4:00,0.294
13/01/2019 5:00,0.252
13/01/2019 6:00,0.209
13/01/2019 7:00,0.141
13/01/2019 8:00,0.066
13/01/2019 9:00,0.001
13/01/2019 10:00,0
13/01/2019 11:00,0
13/01/2019 12:00,0
13/01/2019 13:00,0
13/01/2019 14:00,0
13/01/2019 15:00,0
13/01/2019 16:00,0
13/01/2019 17:00,0
13/01/2019 18:00,0
13/01/2019 19:00,0
13/01/2019 20:00,0
13/01/2019 21:00,0
13/01/2019 22:00,0.06
13/01/2019 23:00,0.159
14/01/2019 0:00,0.259
14/01/2019 1:00,0.37
14/01/2019 2:00,0.429
14/01/2019 3:00,0.442
14/01/2019 4:00,0.43
14/01/2019 5:00,0.401
14/01/2019 6:00,0.343
14/01/2019 7:00,0.255
14/01/2019 8:00,0.119
14/01/2019 9:00,0.009
14/01/2019 10:00,0
14/01/2019 11:00,0
14/01/2019 12:00,0
14/01/2019 13:00,0
14/01/2019 14:00,0
14/01/2019 15:00,0
14/01/2019 16:00,0
14/01/2019 17:00,0
14/01/2019 18:00,0
14/01/2019 19:00,0
14/01/2019 20:00,0
14/01/2019 21:00,0
14/01/2019 22:00,0.055
14/01/2019 23:00,0.154
15/01/2019 0:00,0.244
15/01/2019 1:00,0.325
15/01/2019 2:00,0.372
15/01/2019 3:00,0.376
15/01/2019 4:00,0.375
15/01/2019 5:00,0.329
15/01/2019 6:00,0.269
15/01/2019 7:00,0.175
15/01/2019 8:00,0.085
15/01/2019 9:00,0.005
15/01/2019 10:00,0
15/01/2019 11:00,0
15/01/2019 12:00,0
15/01/2019 13:00,0
15/01/2019 14:00,0
15/01/2019 15:00,0
15/01/2019 16:00,0
15/01/2019 17:00,0
15/01/2019 18:00,0
15/01/2019 19:00,0
15/01/2019 20:00,0
15/01/2019 21:00,0
15/01/2019 22:00,0.059
15/01/2019 23:00,0.164
16/01/2019 0:00,0.271
16/01/2019 1:00,0.39
16/01/2019 2:00,0.492
16/01/2019 3:00,0.542
16/01/2019 4:00,0.533
16/01/2019 5:00,0.478
16/01/2019 6:00,0.373
16/01/2019 7:00,0.239
16/01/2019 8:00,0.103
16/01/2019 9:00,0.007
16/01/2019 10:00,0
16/01/2019 11:00,0
16/01/2019 12:00,0
16/01/2019 13:00,0
16/01/2019 14:00,0
16/01/2019 15:00,0
16/01/2019 16:00,0
16/01/2019 17:00,0
16/01/2019 18:00,0
16/01/2019 19:00,0
16/01/2019 20:00,0
16/01/2019 21:00,0
16/01/2019 22:00,0.077
16/01/2019 23:00,0.198
17/01/2019 0:00,0.332
17/01/2019 1:00,0.408
17/01/2019 2:00,0.448
17/01/2019 3:00,0.482
17/01/2019 4:00,0.437
17/01/2019 5:00,0.338
17/01/2019 6:00,0.261
17/01/2019 7:00,0.163
17/01/2019 8:00,0.06
17/01/2019 9:00,0
17/01/2019 10:00,0
17/01/2019 11:00,0
17/01/2019 12:00,0
17/01/2019 13:00,0
17/01/2019 14:00,0
17/01/2019 15:00,0
17/01/2019 16:00,0
