Time,Output
1/01/2019 0:00,0.299
1/01/2019 1:00,0.383
1/01/2019 2:00,0.444
1/01/2019 3:00,0.465
1/01/2019 4:00,0.47
1/01/2019 5:00,0.429
1/01/2019 6:00,0.342
1/01/2019 7:00,0.215
1/01/2019 8:00,0.093
1/01/2019 9:00,0.005
1/01/2019 10:00,0
1/01/2019 11:00,0
1/01/2019 12:00,0
1/01/2019 13:00,0
1/01/2019 14:00,0
1/01/2019 15:00,0
1/01/2019 16:00,0
1/01/2019 17:00,0
1/01/2019 18:00,0
1/01/2019 19:00,0
1/01/2019 20:00,0
1/01/2019 21:00,0
1/01/2019 22:00,0.073
1/01/2019 23:00,0.199
2/01/2019 0:00,0.318
2/01/2019 1:00,0.406
2/01/2019 2:00,0.467
2/01/2019 3:00,0.484
2/01/2019 4:00,0.459
2/01/2019 5:00,0.4
2/01/2019 6:00,0.313
2/01/2019 7:00,0.206
2/01/2019 8:00,0.092
2/01/2019 9:00,0.005
2/01/2019 10:00,0
2/01/2019 11:00,0
2/01/2019 12:00,0
2/01/2019 13:00,0
2/01/2019 14:00,0
2/01/2019 15:00,0
2/01/2019 16:00,0
2/01/2019 17:00,0
2/01/2019 18:00,0
2/01/2019 19:00,0
2/01/2019 20:00,0
2/01/2019 21:00,0
2/01/2019 22:00,0.051
2/01/2019 23:00,0.137
3/01/2019 0:00,0.227
3/01/2019 1:00,0.301
3/01/2019 2:00,0.379
3/01/2019 3:00,0.42
3/01/2019 4:00,0.413
3/01/2019 5:00,0.341
3/01/2019 6:00,0.233
3/01/2019 7:00,0.138
3/01/2019 8:00,0.06
3/01/2019 9:00,0.002
3/01/2019 10:00,0
3/01/2019 11:00,0
3/01/2019 12:00,0
3/01/2019 13:00,0
3/01/2019 14:00,0
3/01/2019 15:00,0
3/01/2019 16:00,0
3/01/2019 17:00,0
3/01/2019 18:00,0
3/01/2019 19:00,0
3/01/2019 20:00,0
3/01/2019 21:00,0
3/01/2019 22:00,0.058
3/01/2019 23:00,0.149
4/01/2019 0:00,0.237
4/01/2019 1:00,0.318
4/01/2019 2:00,0.377
4/01/2019 3:00,0.395
4/01/2019 4:00,0.378
4/01/2019 5:00,0.334
4/01/2019 6:00,0.278
4/01/2019 7:00,0.182
4/01/2019 8:00,0.083
4/01/2019 9:00,0.006
4/01/2019 10:00,0
4/01/2019 11:00,0
4/01/2019 12:00,0
4/01/2019 13:00,0
4/01/2019 14:00,0
4/01/2019 15:00,0
4/01/2019 16:00,0
4/01/2019 17:00,0
4/01/2019 18:00,0
4/01/2019 19:00,0
4/01/2019 20:00,0
4/01/2019 21:00,0
4/01/2019 22:00,0.057
4/01/2019 23:00,0.143
5/01/2019 0:00,0.215
5/01/2019 1:00,0.279
5/01/2019 2:00,0.331
5/01/2019 3:00,0.359
5/01/2019 4:00,0.362
5/01/2019 5:00,0.33
5/01/2019 6:00,0.26
5/01/2019 7:00,0.163
5/01/2019 8:00,0.066
5/01/2019 9:00,0.001
5/01/2019 10:00,0
5/01/2019 11:00,0
5/01/2019 12:00,0
5/01/2019 13:00,0
5/01/2019 14:00,0
5/01/2019 15:00,0
5/01/2019 16:00,0
5/01/2019 17:00,0
5/01/2019 18:00,0
5/01/2019 19:00,0
5/01/2019 20:00,0
5/01/2019 21:00,0
5/01/2019 22:00,0.067
5/01/2019 23:00,0.17
6/01/2019 0:00,0.279
6/01/2019 1:00,0.359
6/01/2019 2:00,0.416
6/01/2019 3:00,0.442
6/01/2019 4:00,0.415
6/01/2019 5:00,0.353
6/01/2019 6:00,0.25
6/01/2019 7:00,0.137
6/01/2019 8:00,0.045
6/01/2019 9:00,0
6/01/2019 10:00,0
6/01/2019 11:00,0
6/01/2019 12:00,0
6/01/2019 13:00,0
6/01/2019 14:00,0
6/01/2019 15:00,0
6/01/2019 16:00,0
6/01/2019 17:00,0
6/01/2019 18:00,0
6/01/2019 19:00,0
6/01/2019 20:00,0
6/01/2019 21:00,0
6/01/2019 22:00,0.061
6/01/2019 23:00,0.162
7/01/2019 0:00,0.275
7/01/2019 1:00,0.379
7/01/2019 2:00,0.448
7/01/2019 3:00,0.463
7/01/2019 4:00,0.433
7/01/2019 5:00,0.374
7/01/2019 6:00,0.271
7/01/2019 7:00,0.173
7/01/2019 8:00,0.069
7/01/2019 9:00,0.002
7/01/2019 10:00,0
7/01/2019 11:00,0
7/01/2019 12:00,0
7/01/2019 13:00,0
7/01/2019 14:00,0
7/01/2019 15:00,0
7/01/2019 16:00,0
7/01/2019 17:00,0
7/01/2019 18:00,0
7/01/2019 19:00,0
7/01/2019 20:00,0
7/01/2019 21:00,0
7/01/2019 22:00,0.068
7/01/2019 23:00,0.184
8/01/2019 0:00,0.312
8/01/2019 1:00,0.41
8/01/2019 2:00,0.482
8/01/2019 3:00,0.514
8/01/2019 4:00,0.516
8/01/2019 5:00,0.47
8/01/2019 6:00,0.381
8/01/2019 7:00,0.26
8/01/2019 8:00,0.123
8/01/2019 9:00,0.01
8/01/2019 10:00,0
8/01/2019 11:00,0
8/01/2019 12:00,0
8/01/2019 13:00,0
8/01/2019 14:00,0
8/01/2019 15:00,0
8/01/2019 16:00,0
8/01/2019 17:00,0
8/01/2019 18:00,0
8/01/2019 19:00,0
8/01/2019 20:00,0
8/01/2019 21:00,0
8/01/2019 22:00,0.074
8/01/2019 23:00,0.196
9/01/2019 0:00,0.328
9/01/2019 1:00,0.443
9/01/2019 2:00,0.508
9/01/2019 3:00,0.539
9/01/2019 4:00,0.531
9/01/2019 5:00,0.479
9/01/2019 6:00,0.378
9/01/2019 7:00,0.237
9/01/2019 8:00,0.107
9/01/2019 9:00,0.008
9/01/2019 10:00,0
9/01/2019 11:00,0
9/01/2019 12:00,0
9/01/2019 13:00,0
9/01/2019 14:00,0
9/01/2019 15:00,0
9/01/2019 16:00,0
9/01/2019 17:00,0
9/01/2019 18:00,0
9/01/2019 19:00,0
9/01/2019 20:00,0
9/01/2019 21:00,0
9/01/2019 22:00,0.057
9/01/2019 23:00,0.142
10/01/2019 0:00,0.229
10/01/2019 1:00,0.309
10/01/2019 2:00,0.359
10/01/2019 3:00,0.401
10/01/2019 4:00,0.385
10/01/2019 5:00,0.335
10/01/2019 6:00,0.258
10/01/2019 7:00,0.164
10/01/2019 8:00,0.068
10/01/2019 9:00,0.001
10/01/2019 10:00,0
10/01/2019 11:00,0
10/01/2019 12:00,0
10/01/2019 13:00,0
10/01/2019 14:00,0
10/01/2019 15:00,0
10/01/2019 16:00,0
10/01/2019 17:00,0
10/01/2019 18:00,0
10/01/2019 19:00,0
10/01/2019 20:00,0
10/01/2019 21:00,0
10/01/2019 22:00,0.044
10/01/2019 23:00,0.119
11/01/2019 0:00,0.201
11/01/2019 1:00,0.274
11/01/2019 2:00,0.329
11/01/2019 3:00,0.372
11/01/2019 4:00,0.379
11/01/2019 5:00,0.363
11/01/2019 6:00,0.315
11/01/2019 7:00,0.221
11/01/2019 8:00,0.099
11/01/2019 9:00,0.008
11/01/2019 10:00,0
11/01/2019 11:00,0
11/01/2019 12:00,0
11/01/2019 13:00,0
11/01/2019 14:00,0
11/01/2019 15:00,0
11/01/2019 16:00,0
11/01/2019 17:00,0
11/01/2019 18:00,0
11/01/2019 19:00,0
11/01/2019 20:00,0
11/01/2019 21:00,0
11/01/2019 22:00,0.086
11/01/2019 23:00,0.23
12/01/2019 0:00,0.367
12/01/2019 1:00,0.463
12/01/2019 2:00,0.531
12/01/2019 3:00,0.552
12/01/2019 4:00,0.521
12/01/2019 5:00,0.468
12/01/2019 6:00,0.357
12/01/2019 7:00,0.211
12/01/2019 8:00,0.091
12/01/2019 9:00,0.007
12/01/2019 10:00,0
12/01/2019 11:00,0
12/01/2019 12:00,0
12/01/2019 13:00,0
12/01/2019 14:00,0
12/01/2019 15:00,0
12/01/2019 16:00,0
12/01/2019 17:00,0
12/01/2019 18:00,0
12/01/2019 19:00,0
12/01/2019 20:00,0
12/01/2019 21:00,0
12/01/2019 22:00,0.049
12/01/2019 23:00,0.125
13/01/2019 0:00,0.206
13/01/2019 1:00,0.264
13/01/2019 2:00,0.303
