Time,Output
1/01/2019 0:00,0.237
1/01/2019 1:00,0.332
1/01/2019 2:00,0.442
1/01/2019 3:00,0.551
1/01/2019 4:00,0.621
1/01/2019 5:00,0.658
1/01/2019 6:00,0.678
1/01/2019 7:00,0.678
1/01/2019 8:00,0.65
1/01/2019 9:00,0.599
1/01/2019 10:00,0.532
1/01/2019 11:00,0.472
1/01/2019 12:00,0.422
1/01/2019 13:00,0.415
1/01/2019 14:00,0.449
1/01/2019 15:00,0.473
1/01/2019 16:00,0.493
1/01/2019 17:00,0.516
1/01/2019 18:00,0.517
1/01/2019 19:00,0.498
1/01/2019 20:00,0.468
1/01/2019 21:00,0.447
1/01/2019 22:00,0.423
1/01/2019 23:00,0.416
2/01/2019 0:00,0.454
2/01/2019 1:00,0.535
2/01/2019 2:00,0.63
2/01/2019 3:00,0.716
2/01/2019 4:00,0.777
2/01/2019 5:00,0.816
2/01/2019 6:00,0.833
2/01/2019 7:00,0.827
2/01/2019 8:00,0.809
2/01/2019 9:00,0.762
2/01/2019 10:00,0.7
2/01/2019 11:00,0.661
2/01/2019 12:00,0.608
2/01/2019 13:00,0.554
2/01/2019 14:00,0.512
2/01/2019 15:00,0.5
2/01/2019 16:00,0.504
2/01/2019 17:00,0.513
2/01/2019 18:00,0.506
2/01/2019 19:00,0.505
2/01/2019 20:00,0.505
2/01/2019 21:00,0.485
2/01/2019 22:00,0.494
2/01/2019 23:00,0.535
3/01/2019 0:00,0.574
3/01/2019 1:00,0.601
3/01/2019 2:00,0.641
3/01/2019 3:00,0.669
3/01/2019 4:00,0.674
3/01/2019 5:00,0.649
3/01/2019 6:00,0.593
3/01/2019 7:00,0.5
3/01/2019 8:00,0.396
3/01/2019 9:00,0.311
3/01/2019 10:00,0.291
3/01/2019 11:00,0.311
3/01/2019 12:00,0.337
3/01/2019 13:00,0.344
3/01/2019 14:00,0.337
3/01/2019 15:00,0.337
3/01/2019 16:00,0.341
3/01/2019 17:00,0.345
3/01/2019 18:00,0.374
3/01/2019 19:00,0.372
3/01/2019 20:00,0.355
3/01/2019 21:00,0.337
3/01/2019 22:00,0.311
3/01/2019 23:00,0.325
4/01/2019 0:00,0.341
4/01/2019 1:00,0.366
4/01/2019 2:00,0.391
