Time,Output
1/01/2019 0:00,0.169
1/01/2019 1:00,0.249
1/01/2019 2:00,0.354
1/01/2019 3:00,0.447
1/01/2019 4:00,0.498
1/01/2019 5:00,0.52
1/01/2019 6:00,0.521
1/01/2019 7:00,0.498
1/01/2019 8:00,0.447
1/01/2019 9:00,0.395
1/01/2019 10:00,0.358
1/01/2019 11:00,0.332
1/01/2019 12:00,0.308
1/01/2019 13:00,0.307
1/01/2019 14:00,0.325
1/01/2019 15:00,0.338
1/01/2019 16:00,0.346
1/01/2019 17:00,0.364
1/01/2019 18:00,0.352
1/01/2019 19:00,0.323
1/01/2019 20:00,0.295
1/01/2019 21:00,0.289
1/01/2019 22:00,0.274
1/01/2019 23:00,0.278
2/01/2019 0:00,0.305
2/01/2019 1:00,0.369
2/01/2019 2:00,0.46
2/01/2019 3:00,0.558
2/01/2019 4:00,0.642
2/01/2019 5:00,0.7
2/01/2019 6:00,0.722
2/01/2019 7:00,0.703
2/01/2019 8:00,0.666
2/01/2019 9:00,0.603
2/01/2019 10:00,0.548
2/01/2019 11:00,0.509
2/01/2019 12:00,0.456
2/01/2019 13:00,0.401
2/01/2019 14:00,0.364
2/01/2019 15:00,0.362
2/01/2019 16:00,0.372
2/01/2019 17:00,0.376
2/01/2019 18:00,0.367
2/01/2019 19:00,0.374
2/01/2019 20:00,0.377
2/01/2019 21:00,0.363
2/01/2019 22:00,0.359
2/01/2019 23:00,0.379
3/01/2019 0:00,0.402
3/01/2019 1:00,0.425
3/01/2019 2:00,0.472
3/01/2019 3:00,0.514
3/01/2019 4:00,0.519
3/01/2019 5:00,0.48
3/01/2019 6:00,0.416
3/01/2019 7:00,0.332
3/01/2019 8:00,0.248
3/01/2019 9:00,0.185
3/01/2019 10:00,0.176
3/01/2019 11:00,0.186
3/01/2019 12:00,0.2
3/01/2019 13:00,0.201
3/01/2019 14:00,0.199
3/01/2019 15:00,0.213
3/01/2019 16:00,0.219
3/01/2019 17:00,0.22
