Time,Output
1/01/2019 0:00,0.149
1/01/2019 1:00,0.193
1/01/2019 2:00,0.218
1/01/2019 3:00,0.231
1/01/2019 4:00,0.217
1/01/2019 5:00,0.191
1/01/2019 6:00,0.171
1/01/2019 7:00,0.147
1/01/2019 8:00,0.109
1/01/2019 9:00,0.088
1/01/2019 10:00,0.088
1/01/2019 11:00,0.093
1/01/2019 12:00,0.095
1/01/2019 13:00,0.103
1/01/2019 14:00,0.117
1/01/2019 15:00,0.117
1/01/2019 16:00,0.112
1/01/2019 17:00,0.112
1/01/2019 18:00,0.112
1/01/2019 19:00,0.108
1/01/2019 20:00,0.107
1/01/2019 21:00,0.11
1/01/2019 22:00,0.102
1/01/2019 23:00,0.093
2/01/2019 0:00,0.121
2/01/2019 1:00,0.171
2/01/2019 2:00,0.221
2/01/2019 3:00,0.263
2/01/2019 4:00,0.281
2/01/2019 5:00,0.272
2/01/2019 6:00,0.234
2/01/2019 7:00,0.182
2/01/2019 8:00,0.16
2/01/2019 9:00,0.171
2/01/2019 10:00,0.209
2/01/2019 11:00,0.231
2/01/2019 12:00,0.237
2/01/2019 13:00,0.254
2/01/2019 14:00,0.267
2/01/2019 15:00,0.283
2/01/2019 16:00,0.297
2/01/2019 17:00,0.311
2/01/2019 18:00,0.313
2/01/2019 19:00,0.316
2/01/2019 20:00,0.32
2/01/2019 21:00,0.3
2/01/2019 22:00,0.278
2/01/2019 23:00,0.274
3/01/2019 0:00,0.307
3/01/2019 1:00,0.352
3/01/2019 2:00,0.401
3/01/2019 3:00,0.405
3/01/2019 4:00,0.357
3/01/2019 5:00,0.272
3/01/2019 6:00,0.177
3/01/2019 7:00,0.094
3/01/2019 8:00,0.058
3/01/2019 9:00,0.055
3/01/2019 10:00,0.079
3/01/2019 11:00,0.109
3/01/2019 12:00,0.133
3/01/2019 13:00,0.142
3/01/2019 14:00,0.15
3/01/2019 15:00,0.167
3/01/2019 16:00,0.179
3/01/2019 17:00,0.194
3/01/2019 18:00,0.213
3/01/2019 19:00,0.204
3/01/2019 20:00,0.187
3/01/2019 21:00,0.163
3/01/2019 22:00,0.117
3/01/2019 23:00,0.082
4/01/2019 0:00,0.077
4/01/2019 1:00,0.086
4/01/2019 2:00,0.096
4/01/2019 3:00,0.093
4/01/2019 4:00,0.079
4/01/2019 5:00,0.061
4/01/2019 6:00,0.042
4/01/2019 7:00,0.02
4/01/2019 8:00,0.009
4/01/2019 9:00,0.005
4/01/2019 10:00,0.003
4/01/2019 11:00,0.003
4/01/2019 12:00,0.005
4/01/2019 13:00,0.012
4/01/2019 14:00,0.028
4/01/2019 15:00,0.05
4/01/2019 16:00,0.071
4/01/2019 17:00,0.081
4/01/2019 18:00,0.074
4/01/2019 19:00,0.057
4/01/2019 20:00,0.036
4/01/2019 21:00,0.018
4/01/2019 22:00,0.006
4/01/2019 23:00,0.003
5/01/2019 0:00,0.002
5/01/2019 1:00,0.002
5/01/2019 2:00,0.004
5/01/2019 3:00,0.008
5/01/2019 4:00,0.018
5/01/2019 5:00,0.03
5/01/2019 6:00,0.034
5/01/2019 7:00,0.028
5/01/2019 8:00,0.024
5/01/2019 9:00,0.02
5/01/2019 10:00,0.017
5/01/2019 11:00,0.023
5/01/2019 12:00,0.033
5/01/2019 13:00,0.041
5/01/2019 14:00,0.046
5/01/2019 15:00,0.05
5/01/2019 16:00,0.054
5/01/2019 17:00,0.055
5/01/2019 18:00,0.054
5/01/2019 19:00,0.05
5/01/2019 20:00,0.048
5/01/2019 21:00,0.072
5/01/2019 22:00,0.112
5/01/2019 23:00,0.124
6/01/2019 0:00,0.138
6/01/2019 1:00,0.134
6/01/2019 2:00,0.129
6/01/2019 3:00,0.133
6/01/2019 4:00,0.132
6/01/2019 5:00,0.14
6/01/2019 6:00,0.14
6/01/2019 7:00,0.118
6/01/2019 8:00,0.094
6/01/2019 9:00,0.09
6/01/2019 10:00,0.095
6/01/2019 11:00,0.09
6/01/2019 12:00,0.077
6/01/2019 13:00,0.066
6/01/2019 14:00,0.054
6/01/2019 15:00,0.043
6/01/2019 16:00,0.038
6/01/2019 17:00,0.038
6/01/2019 18:00,0.041
6/01/2019 19:00,0.039
6/01/2019 20:00,0.034
6/01/2019 21:00,0.03
6/01/2019 22:00,0.028
6/01/2019 23:00,0.025
7/01/2019 0:00,0.04
7/01/2019 1:00,0.071
7/01/2019 2:00,0.113
7/01/2019 3:00,0.135
7/01/2019 4:00,0.137
7/01/2019 5:00,0.133
7/01/2019 6:00,0.117
7/01/2019 7:00,0.089
7/01/2019 8:00,0.056
7/01/2019 9:00,0.04
7/01/2019 10:00,0.03
7/01/2019 11:00,0.022
7/01/2019 12:00,0.015
7/01/2019 13:00,0.011
7/01/2019 14:00,0.008
7/01/2019 15:00,0.007
7/01/2019 16:00,0.006
7/01/2019 17:00,0.005
7/01/2019 18:00,0.003
7/01/2019 19:00,0.002
7/01/2019 20:00,0.001
7/01/2019 21:00,0.001
7/01/2019 22:00,0.002
7/01/2019 23:00,0.003
8/01/2019 0:00,0.004
8/01/2019 1:00,0.003
8/01/2019 2:00,0.002
8/01/2019 3:00,0.001
8/01/2019 4:00,0
8/01/2019 5:00,0.001
8/01/2019 6:00,0.005
8/01/2019 7:00,0.011
8/01/2019 8:00,0.018
8/01/2019 9:00,0.02
8/01/2019 10:00,0.021
8/01/2019 11:00,0.019
8/01/2019 12:00,0.012
8/01/2019 13:00,0.008
8/01/2019 14:00,0.007
8/01/2019 15:00,0.005
8/01/2019 16:00,0.005
8/01/2019 17:00,0.005
8/01/2019 18:00,0.003
8/01/2019 19:00,0.001
8/01/2019 20:00,0
8/01/2019 21:00,0.001
8/01/2019 22:00,0.002
8/01/2019 23:00,0.005
9/01/2019 0:00,0.008
9/01/2019 1:00,0.008
9/01/2019 2:00,0.004
9/01/2019 3:00,0.001
9/01/2019 4:00,0
9/01/2019 5:00,0.002
9/01/2019 6:00,0.004
9/01/2019 7:00,0.006
9/01/2019 8:00,0.003
9/01/2019 9:00,0.002
9/01/2019 10:00,0.001
9/01/2019 11:00,0.001
9/01/2019 12:00,0.001
9/01/2019 13:00,0.001
9/01/2019 14:00,0.003
9/01/2019 15:00,0.004
9/01/2019 16:00,0.008
9/01/2019 17:00,0.011
9/01/2019 18:00,0.012
9/01/2019 19:00,0.006
9/01/2019 20:00,0.002
9/01/2019 21:00,0
9/01/2019 22:00,0
9/01/2019 23:00,0
10/01/2019 0:00,0
10/01/2019 1:00,0.001
10/01/2019 2:00,0.001
10/01/2019 3:00,0.003
10/01/2019 4:00,0.01
10/01/2019 5:00,0.025
10/01/2019 6:00,0.042
10/01/2019 7:00,0.045
10/01/2019 8:00,0.03
10/01/2019 9:00,0.023
10/01/2019 10:00,0.02
10/01/2019 11:00,0.013
10/01/2019 12:00,0.007
