technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar
Alkaline electrolyzer large size,,,,,,2.8,,,0.2389,,,,,,,,,,,,,,0.07,,,,,,,,,,,1.38,,,,,,,,429030.6,40.0,,,,,,,,,,,,,,,,
Alkaline electrolyzer medium size,,,,,,2.3,,,0.2389,,,,,,,,,,,,,,0.07,,,,,,,,,,,1.416,,,,,,,,506033.2,20.0,,,,,,,,,,,,,,,,
Alkaline electrolyzer small size,,,,,,2.3,,,0.1934,,,,,,,,,,,,,,0.07,,,,,,,,,,,1.41,,,,,,,,582922.0,20.0,,,,,,,,,,,,,,,,
Ammonia cracker,,,,,,4.3,,,,1.46,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1123945.3807,25.0,,,,,,,,,,,,,,,,
BEV Bus city,,,,,,0.0003,346.5517,,0.0952,,,,,,,,,,,,,,0.07,,,,0.8585,,,,,,,,,,,,,,,222485.6452,12.0,,,,,,,,,,,,,,,,
BEV Coach,,,,,,0.0002,358.6207,,0.0952,,,,,,,,,,,,,,0.07,,,,0.8446,,,,,,,,,,,,,,,303025.4488,12.0,,,,,,,,,,,,,,,,
BEV Truck Semi-Trailer max 50 tons,,,,,,0.0004,555.1724,,0.0952,,,,,,,,,,,,,,0.07,,,,1.3936,,,,,,,,,,,,,,,151213.8954,10.5,,,,,,,,,,,,,,,,
BEV Truck Solo max 26 tons,,,,,,0.0002,382.7586,,0.0952,,,,,,,,,,,,,,0.07,,,,0.8755,,,,,,,,,,,,,,,282418.6749,13.8,,,,,,,,,,,,,,,,
BEV Truck Trailer max 56 tons,,,,,,0.0003,710.3448,,0.0952,,,,,,,,,,,,,,0.07,,,,1.5446,,,,,,,,,,,,,,,167722.8037,13.8,,,,,,,,,,,,,,,,
Battery electric (passenger cars),,,,,,0.9,,,,,,,,,,,,,,,,,0.07,,,,0.68,,,,,,,,,,,,,,,24624.0,15.0,,,,,,,,,,,,,,,,
Battery electric (trucks),,,,,,15.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,136400.0,15.0,,,,,,,,,,,,,,,,
BioSNG,,0.3402,0.6598,,0.2419,1.6375,,,1.8078,,,,,0.9,,,,,,,,,0.07,,,,0.63,,,,,,,,,,,,,,,1701440.0,25.0,,,,,,,,,,,,,,,,
BtL,,0.2688,0.7312,,0.2681,2.6667,,,1.1299,,,,,0.9,,,,,,,,,0.07,,,,0.3833,,,,,,,,,,,,,,,3118433.3000000003,25.0,,,,,,,,,,,,,,,,
CCGT,,,,,,3.3494,,,4.4445,,2.0,0.15,,,,,,,,,,,0.07,,,,0.58,,,,,,,,,,,,,,,878324.0,25.0,,,,,,,,,,,,,,,,
CH4 (g) fill compressor station,,,,,,1.7,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1654.96,20.0,,,,,,,,,,,,,,,,
CH4 (g) pipeline,,,,,,1.5,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.01,,,,,,,,87.22,50.0,,,,,,,,,,,,,,,,
CH4 (g) submarine pipeline,,,,,,3.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.01,,,,,,,,119.3173,30.0,,,,,,,,,,,,,,,,
CH4 (l) transport ship,,,,,,3.5,,,,,,,58300.0,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,159791465.6831,25.0,,,,,,,,,,,,,,,,
CH4 evaporation,,,,,,3.5,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,91110.1,30.0,,,,,,,,,,,,,,,,
CH4 liquefaction,,,,,,3.5,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.036,,,,,,,,241443.0,25.0,,1.0,,,,,,,,,,,,,,
CO2 liquefaction,,,,,,5.0,,,,,,,,,,1.0,,,,,,,0.07,,,,,,,,,,,0.123,,,,,0.0067,,,16.7226,25.0,,,,,,,,,,,,,,,,
CO2 pipeline,,,,,,0.9,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,2116.4433,50.0,,,,,,,,,,,,,,,,
CO2 storage tank,,,,,,1.0,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,2584.3462,25.0,,,,,,,,,,,,,,,,
CO2 submarine pipeline,,,,,,0.5,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,4232.8865,20.0,,,,,,,,,,,,,,,,
Charging infrastructure fast (purely) battery electric vehicles passenger cars,,,,,,1.6,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,448894.0,30.0,,,,,,,,,,,,,,,,
Charging infrastructure fuel cell vehicles passenger cars,,,,,,2.2,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1787894.0,30.0,,,,,,,,,,,,,,,,
Charging infrastructure fuel cell vehicles trucks,,,,,,2.2,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1787894.0,30.0,,,,,,,,,,,,,,,,
Charging infrastructure slow (purely) battery electric vehicles passenger cars,,,,,,1.8,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,1005.0,30.0,,,,,,,,,,,,,,,,
Compressed-Air-Adiabatic-bicharger,,,,,,0.9265,,,,,,,,,,,,,,,,,0.07,,,,0.7211,,,,,,,,,,,,,,,946180.9426,60.0,,,,,,,,,,,,,,,,
Compressed-Air-Adiabatic-store,,,,,,0.43,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,5448.7894,60.0,,,,,,,,,,,,,,,,
Concrete-charger,,,,,,1.075,,,,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,,,,,,,144192.2682,35.0,,,,,,,,,,,,,,,,
Concrete-discharger,,,,,,0.2688,,,,,,,,,,,,,,,,,0.07,,,,0.4343,,,,,,,,,,,,,,,576769.073,35.0,,,,,,,,,,,,,,,,
Concrete-store,,,,,,0.3308,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,24044.2324,35.0,,,,,,,,,,,,,,,,
"Container feeder, ammonia",,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,0.7754,,,,,,,,,,,,,,,38462833.2276,30.0,,,,,,,,,,,,,,,,
"Container feeder, diesel",,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,0.7718,,,,,,,,,,,,,,,34966212.0251,30.0,,,,,,,,,,,,,,,,
"Container feeder, methanol",,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,0.7711,,,,,,,,,,,,,,,36802136.8043,30.0,,,,,,,,,,,,,,,,
"Container, ammonia",,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,1.7094,,,,,,,,,,,,,,,131618242.0136,31.0,,,,,,,,,,,,,,,,
"Container, diesel",,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,1.6399,,,,,,,,,,,,,,,119652947.2851,32.0,,,,,,,,,,,,,,,,
"Container, methanol",,,,,,0.0,,,,,,,,,,,,,,,,,0.07,,,,1.7001,,,,,,,,,,,,,,,125635594.6493,32.0,,,,,,,,,,,,,,,,
